,index,Unnamed: 0,id,user_location,text,created_at,username,lang,retweet_count,reply_count,like_count,quote_count
119,1060,1060,1465023654761222153,"Stony Plain, Alberta","Covid was not the pharmaceutical industrial complex. It was a MILITARY DRILL. ""OPERATION Warp Speed""? run by the military. BIO warfare. The vaccine industry is as much a part of the military now, as the bullet making industry.",2021-11-28 18:23:52+00:00,2222minutes,en,0,0,0,0
120,785,785,1464701525859647489,"Toronto, ON","A reminder of how good the mRNA Covid vaccines are.
https://t.co/dcxlqonkA6",2021-11-27 21:03:51+00:00,davidmouritsen,en,0,0,0,0
121,1154,1154,1465102030423441413,Canada,"So my Husband, schooled me tonight on 1. Over 100 soccer players have died of MIs 2. How the “new” variant”was released on purpose to take attention away from faucci’s guilt in “creating COVID” for the new world order. me: so how many had heart attacks before Covid? #MedTwitter https://t.co/yzBBl4bEge",2021-11-28 23:35:18+00:00,KristinaSMelvin,en,0,1,0,0
122,1081,1081,1465043754528739332,"Toronto, Ontario","Globally, companies are indicating that they will invest even more in artificial intelligence (AI) in response to the COVID-19 pandemic and its acceleration of digital transformation initiatives. #softwaredevelopment https://t.co/OvC8sGWwqW https://t.co/I3Zr0fO1qt",2021-11-28 19:43:44+00:00,SynergoGroup,en,1,0,0,0
123,867,867,1464767828486234116,Republic of Alberta,"Nota bene: I've never taken a flu vaccine, and also never contracted the flu. Coincidence? I think not.",2021-11-28 01:27:19+00:00,_Blitzkrieg555_,en,0,0,0,0
124,725,725,1464641088074002433,"Steinbach, Treaty 1 Territory","A remarkable look into how vaccine hesitancy is shaping the communities in Southern MB, and some of us are trying to heal.

I’m glad to have contributed to the story with some other good people (and friends). https://t.co/zGbLuuWtiK",2021-11-27 17:03:41+00:00,kyle_penner,en,2,4,43,1
125,214,214,1464226401742110721,"Toronto, Canada",The coronavirus epidemic is the same never ending group project over and over.,2021-11-26 13:35:52+00:00,orenmazor,en,0,2,3,0
126,660,660,1464598844042358787,"Toronto, ON",Another weekend to find deals AND fight covid! https://t.co/burFjzsdWX,2021-11-27 14:15:50+00:00,981CHFI,en,0,0,0,0
127,703,703,1464629029076541441,"Calgary, Alberta","Nope, it is the vaccinated that hope the unvaxxed die to justify their bad decisions on taking a efficacy failing vaccine. https://t.co/OLu4wm4vF7",2021-11-27 16:15:46+00:00,MelanieEresman,en,1,0,3,1
128,554,554,1464422578395795461,Toronto Canada,Greece Rules Out New Lockdown Despite Pressure on Covid ICUs https://t.co/tSgAxebLlP,2021-11-27 02:35:25+00:00,terpsichore_los,en,0,0,0,0
129,670,670,1464604908255076357,Canada,Former RCMP Speaks out against vaccine mandates // CORPORAL DANIEL BULFORD https://t.co/oY41BMvcy6,2021-11-27 14:39:55+00:00,Fraidycat7,en,0,0,0,0
130,277,277,1464270702786220033,"Alberta, Canada, Treaty 7",My job puts me a such a huge risk to get covid.........but I need to work.,2021-11-26 16:31:55+00:00,Lioness_Tee,en,0,0,0,0
131,156,156,1464143880903966720,"Québec, Canada 🇨🇦","""In photos: Macy’s Thanksgiving Day parade"" by Unknown Author via NYT New York Times https://t.co/m4uyAll3TJ",2021-11-26 08:07:58+00:00,DJIMB3RRY,en,0,0,0,0
132,570,570,1464436857060704258,"Montréal, Québec","Jenna Ellis, do you remember when conman Donald Trump got out of Walter Reed Hospital,his ignorant statement:Don't be afraid of Covid.Look 700,000 Americans died of Covid.

Jenna Ellis you are a lesser of a fifth grader
Get your damn shot
If yo do not want to be put in a body bag https://t.co/do4nnVhdDU",2021-11-27 03:32:09+00:00,514darkcholate,en,0,0,0,0
133,339,339,1464300905898074118,"Vancouver, British Columbia","Airline and Travel Stocks Tumble Amid New Covid Variant Concerns

#Africa #AirlineIndustry #AirTravel #COVID19 #Covid19Vaccine #CovidVariant #Hotels #Pandemic #Stocks #TravelIndustry #TravelRestrictions https://t.co/LvEYmIgnxF",2021-11-26 18:31:56+00:00,FinancialBuzzCA,en,0,0,1,0
134,925,925,1464824112833081345,"Oakville, Ontario",Anthony Fauci Says COVID-19 Omicron Variant Could Already Be in U.S. https://t.co/kK5bVatIW0,2021-11-28 05:10:58+00:00,warlockthunder1,en,0,0,0,0
135,1051,1051,1465015583456608256,Canada,Fauci: US could face ‘fifth wave’ of Covid as Omicron variant nears | Coronavirus | The Guardian https://t.co/VHTPURU6pi,2021-11-28 17:51:48+00:00,Hephaestus7,en,0,0,1,0
136,274,274,1464270719244722176,Canada,"The experts warned about this. Viruses know no boarders. A global pandemic requires a global solution. 

Rise of a new coronavirus variant in Africa looks like the disaster scenario experts warned of if rich nations hoarded vaccines for themselves https://t.co/PqGLsP0dFl",2021-11-26 16:31:58+00:00,giazilo,en,2,0,7,0
137,1021,1021,1464989409003061255,"Montreal, Quebec","Remember, major countries are blocking the TRIPS waiver which allows other countries and manufacturers to make generic versions of popular vaccines.

The UK, Norway, US, Canada, Switzerland, EU including Germany.

New COVID Variant Risks Another Resurgence
https://t.co/jrsh6QaqcA",2021-11-28 16:07:47+00:00,kyleruggles,en,0,0,0,1
138,460,460,1464371349267361802,"Stanstead, Quebec, Cana-tada!","WHO: “We need a name for this variant that won’t invoke feelings of dread and the spectre apocalyptic doom.”

Also WHO: “Got it!”

https://t.co/wQktFDcO5U",2021-11-26 23:11:51+00:00,rossmurray1,en,0,1,4,1
139,503,503,1464391695328440325,Halifax Nova Scotia Canada,🌃 Headlines | COVID-19 vaccine now available to kids 5-11 https://t.co/1EBAqQX2q6 https://t.co/C00AvfyebY,2021-11-27 00:32:41+00:00,haligonia,en,2,0,4,0
140,445,445,1464357186276970504,Canada,Evening Update: Canada to impose restrictions on travel from southern parts of Africa as concerns mount over COVID-19 variant Omicron https://t.co/nNCP1xuaBx,2021-11-26 22:15:34+00:00,globeandmail,en,3,4,8,0
141,15,15,1464026971717963776,British Columbia,"Thousands of Canadian businesses and over 2 million jobs were protected by the federal government's support for the tourism, hotel, and event industries. #Canada #BCTourismCounts

https://t.co/LXQLm5HXVL",2021-11-26 00:23:25+00:00,TIABC_CA,en,0,0,3,0
