,index,Unnamed: 0,id,user_location,text,created_at,username,lang,retweet_count,reply_count,like_count,quote_count
63,474,474,1464375350494830592,"Leduc, Alberta","Chart shows how quickly the new coronavirus variant spread in part of South Africa, totally supplanting Delta https://t.co/PUMEzZo66M 
With each variant, why isn't the world getting angrier with China for withholding their data and designs? Why must more of us die without that?",2021-11-26 23:27:44+00:00,MirandumDeiOpus,en,0,0,0,0
64,476,476,1464377372698841090,#GordDowniesCanada,I am reading this dribble from @Ben_S_Harper this is what Albertans are paying this fool a six figure salary The he fool that said it was going to be the #bestsummerever perhaps he should tell the families of the 932 who have died of Covid since July st how great a summer it was. https://t.co/P6Fy6XYjNg,2021-11-26 23:35:47+00:00,MerlinofCanada,en,26,5,64,0
65,482,482,1464381375398629378,"Strathcona County, Alberta","Wondering where we can buy Chapman ice cream in #shpk #strathco and support this exemplary business? Are any local businesses doing the same thing?  If yes, we need to promote them. #covid19 #supportworkers #caring https://t.co/vmSwX9hNME",2021-11-26 23:51:41+00:00,mckitrick_annie,en,0,2,9,0
66,483,483,1464381361645445120,"Outter Space, BC, Canada",This endless pandemic has created a new found strength in many that now realize being a truck driver or working at a shitty job wasn't actually required of them. They're now getting jobs and starting businesses and beginning new chapters in their lives. #covid19,2021-11-26 23:51:38+00:00,heavyequiptrade,en,0,0,0,0
67,490,490,1464385494792294401,"Tri-Cities, British Columbia",Here is how much of a threat the highly transmissible new Omicron variant poses in B.C. https://t.co/87lnsTIQ6D https://t.co/wrQtfOGHNe,2021-11-27 00:08:03+00:00,TriCityNews,en,2,0,1,0
68,491,491,1464385493261500421,"Ontario, Canada","B.1.1.529 (Omicron) now the newest one to watch!

#Omicron
#OmicronIsAirborne

https://t.co/00AgXQVMy3",2021-11-27 00:08:03+00:00,lynnca1972,en,0,1,3,0
69,492,492,1464385486949171201,Oakville ON. Canada,Pakistan needs to act asap and ban people arriving from the new COVID variant affected African countries in order to save Pakistanis from the disease. @GovtofPakistan @ImranKhanPTI @RiffatJabeen18 @SHABAZGIL @imshahidmasood https://t.co/c3vnPtZKYm,2021-11-27 00:08:01+00:00,ka_lodhi,en,0,0,1,0
70,506,506,1464391571542097921,Canada.,"New omicron variant stokes world fears, triggers travel bans - Vancouver Is Awesome https://t.co/67VkTKi5BB #toolate",2021-11-27 00:32:12+00:00,me_nobodyreally,en,0,0,0,0
71,507,507,1464393713262546945,Canada,I hope the next variant will be called Unicron #transformers #COVID19 #coronavirus #planeteater #transformersthemovie,2021-11-27 00:40:43+00:00,simplydashing,en,0,0,0,0
72,513,513,1464397854953414658,"Ottawa, Ontario","Most worrisome thing I’ve seen about the new variant thus far might be Monica, COVID is over and India has reached herd immunity, Gandhi downplaying it. https://t.co/amIegdZVhE",2021-11-27 00:57:10+00:00,YoniFreedhoff,en,10,18,146,3
73,515,515,1464397786909134852,"Regina, Saskatchewan",Variant prompts Canada to ban travellers from southern Africa https://t.co/YPbZTSQeiR,2021-11-27 00:56:54+00:00,leaderpost,en,1,0,2,0
74,522,522,1464401968101736456,"Georgian Bluffs, Ontario","Thread: This is troubling. The ""O"" Covid variant is spreading and we don't have consensus on travel bans from experts. @bogochisaac says they don't work @johnincarlisle says it buys countries time. See next two tweets to listen to what they say. I respect both but a concerned!",2021-11-27 01:13:31+00:00,B2Bspecialist,en,0,1,2,0
75,525,525,1464403990775533573,"Ontario, Canada","Mafia guy, while flicking lighter...

""You need our protection, businesses burn down all the time""

Govt, while firing nurses... 

""You need our vaccine, the healthcare system is being overrun""",2021-11-27 01:21:33+00:00,FishingDoon,en,1,1,4,1
76,538,538,1464412156015878146,Canada,"📍More than 30.1 million people in Canada have received their first COVID-19 vaccine
📍28.9 million second doses and 858,239 third doses have been administered
📍82.9% of those eligible (5+) have received their first dose, 79.6% at least their second
https://t.co/OaFQ4IrkEf https://t.co/XzMUjwV30p",2021-11-27 01:54:00+00:00,CTVNationalNews,en,21,10,59,2
77,540,540,1464414304619274242,"Brampton, Ontario, Canada",TSX plunges as COVID variant worries spook markets https://t.co/WRSOYNSxNI,2021-11-27 02:02:32+00:00,brampton_news,en,0,0,0,0
78,542,542,1464414244909289476,"Toronto, Canada",Wall St Week Ahead COVID-19 fears reappear as a threat to market https://t.co/fvdNUnGqFC https://t.co/SkbmORaIZK #tech,2021-11-27 02:02:18+00:00,SoumikRoy,en,0,0,1,0
79,567,567,1464432705530122240,Winnipeg Canada,"Oh, the Covid twins. https://t.co/tfP6bTSC5J",2021-11-27 03:15:39+00:00,KWCoachTerry,en,0,0,0,0
80,580,580,1464445094443028487,⚡Near & Far ⚡️ Canada,"In the dystopian future that some have envisioned, 2019, the year the precious virus emerged, might be called Year One &amp; everything before that is BC 🦠
(Before Covid) 
So, by the Covid Cult Reckoning 2021 would be Year 3
&amp; It’s almost Year 4, by Covid Cult Reckoning 😳",2021-11-27 04:04:53+00:00,StoneSculptorJN,en,3,0,9,1
81,586,586,1464449309953478656,"Toronto, Canada","...also pointless and cancelled. If you want to attach one of those plastic things that give bras volume when on display to your face, with elastic, please do so in your own home, not for any kind of Covid-19 prevention. https://t.co/yACIHxUTUF",2021-11-27 04:21:38+00:00,vickyyyf,en,0,1,4,0
82,589,589,1464451387824254979,Canada,I am so angry at the world right now. I was finally able to get my last of four children vaccinated on the same day that they announced a new variant that may make it moot.  I believe in vaccination. We could have snuffed out this global virus with an effective global campaign.,2021-11-27 04:29:53+00:00,Unbranded63,en,24,8,180,0
83,593,593,1464455440352354305,Canada ,"#Toronto #police officers to patrol near #COVID vaccination sites as children begin receiving shots
https://t.co/aQw0EEBR0a https://t.co/d0UQIar0Ki",2021-11-27 04:45:59+00:00,thedailycanada,en,0,0,0,0
84,597,597,1464459526749528071,"Toronto, Ontario, Canada",They should double jab him with two shots of Pfizer and let him get Myocarditis or Blood Clots or some other form of Vaxx Injury and 'go-to sleep' for good. A more pleasant form of euthanasia. #coronavirus #Covid_19 #covidvariant #Omicron https://t.co/w0We5Cxkk6,2021-11-27 05:02:14+00:00,BD007Marky,en,0,0,1,0
85,609,609,1464475970665005056,Canada,Due to the Seriousness of the New Omicron COVID Variant the Biden Admin Has Decided to Leave the US Southern Border Completely Open https://t.co/Ghs377lHcv,2021-11-27 06:07:34+00:00,wa_kin_gup,en,22,4,25,0
86,615,615,1464496194025975809,"Calgary, Alberta","And begins again. The Guardian: Omicron: everything you need to know about new Covid variant.
https://t.co/fDCrC5xcmL

via @GoogleNews",2021-11-27 07:27:56+00:00,canadaitaxpayer,en,0,1,0,0
87,617,617,1464498208600510466,Canada,The shift in work happening now is MASSIVE. After covid lockdowns people realize they don't want to be underappreciated at a 9 to 5 job so millions of jobs go vacant. Now millions more will resign because of their work's role in the #ClimateCrisis. #TheBigResignation https://t.co/0HYrhhWdJC,2021-11-27 07:35:56+00:00,wendyweb47,en,0,0,0,0
88,627,627,1464506124426625025,Canada,My aunt has been on a lung transplant list for more than two years but keeps getting bumped for COVID patients who need new lungs because of the damage the virus did to them. She and I both wonder how many of those getting transplants weren't vaccinated but there's no way to know,2021-11-27 08:07:23+00:00,perfidiousSH,en,0,2,5,1
89,632,632,1464526309040668674,Canada,"Fuck covid, what is your opinion of th Krogan Genophage?",2021-11-27 09:27:36+00:00,DUBIOUS_MAXIMUM,en,0,0,0,0
90,637,637,1464554531568631817,Canada,The propaganda says the vaccines are highly effective.  The facts say they're incredibly ineffective.  If you stick to the facts most will call you an idiot.  #VaccinesWork just not the Covid ones.,2021-11-27 11:19:45+00:00,canukgord,en,0,0,0,0
91,658,658,1464596774304325633,"Thompson, Manitoba",What are you grateful for today?  I am grateful that the covid vaccination is available for kids 5 and up. https://t.co/8afYeUAJQH,2021-11-27 14:07:36+00:00,ZBettess,en,1,2,11,1
92,664,664,1464600830363975680,"1 Yonge St., Toronto, Canada",Barbarians-Samoa rugby match off due to 6 coronavirus cases https://t.co/AvCDSeR8s3,2021-11-27 14:23:43+00:00,StarSports,en,0,0,0,0
93,675,675,1464608901379334147,Canada,"Workers in High River, Alberta have rejected Cargill's latest offer, and Cargill has escalated with a lockout notice and the likely scab hiring. @Rankandfileca Cargill correspondent Jeremy Appel reports.
#canlab #abpoli #cdnpoli #essentialworkers #COVID19
https://t.co/bFujPzQju1",2021-11-27 14:55:47+00:00,rankandfileca,en,42,1,64,0
94,683,683,1464618934301302792,Refugee from Ontario,"Not bad for a variant that was supposedly only discovered a few days ago.

https://t.co/s96fYu5PR3",2021-11-27 15:35:39+00:00,jf576837,en,5,5,20,0
95,687,687,1464621005213683717,"Ottawa, Canada","Older adult aged 65 years or older? They should also get their third dose of covid vaccine, now! Also at risk of covid-related complications. 
@VeraEtches @TrevorArnason 
#FluShot
#ThirdDose https://t.co/vXBDpOwNnf",2021-11-27 15:43:53+00:00,jaime_trick,en,0,1,2,0
96,689,689,1464620991066247181,"Vancouver, British Columbia","A geneticist from Stanford University speculated  the Omicron virus was so different to the original l strain, Sars-Cov-2, it could be labelled “Sars-Cov-3” – “essentially restarting the pandemic” https://t.co/5uMfdzmbzN",2021-11-27 15:43:50+00:00,BrownieScott,en,1,1,0,0
97,696,696,1464625029388242949,Alberta,"Behringer needs to start making Mastery bridges, amiright??

#guitar #guitarist #offset #indierock #johnnymarr @Johnny_Marr #fender #nusicianswhocantfuck #Pepsi #BlackFriday #coronavirus #FreePalestine #abdl #jazzmaster #masterofjazz #jazzmastererofjazz #Chillwave #OmicronVariant",2021-11-27 15:59:53+00:00,shattmckeen,en,0,1,1,0
98,710,710,1464633067268722691,"Fredericton, New Brunswick",World on alert as U.K. reports cases of omicron COVID-19 variant https://t.co/YwGd2rgO3C #COVID19 #covidvariant,2021-11-27 16:31:49+00:00,drjeff_unb,en,0,0,1,0
99,712,712,1464633046028541960,"lethbridge, alberta","Approved COVID Vaccine for Kids Under 12 - Risks, Safety, Side Effects a... https://t.co/sXhhcy7JgX via @YouTube",2021-11-27 16:31:44+00:00,DianneMShaw,en,0,0,0,0
100,713,713,1464633033311633416,"Truro, Nova Scotia",BRUCE MacKINNON CARTOON: The world is whacked — by COVID and climate crises | SaltWire https://t.co/8OE0NkXaGF https://t.co/QOIDbhEcD5,2021-11-27 16:31:41+00:00,trurodaily,en,0,0,0,0
101,725,725,1464641088074002433,"Steinbach, Treaty 1 Territory","A remarkable look into how vaccine hesitancy is shaping the communities in Southern MB, and some of us are trying to heal.

I’m glad to have contributed to the story with some other good people (and friends). https://t.co/zGbLuuWtiK",2021-11-27 17:03:41+00:00,kyle_penner,en,2,4,43,1
102,726,726,1464643136051982341,Canada,I now have a new thing to add to the list of crazy shir for bts which is apparently cry in front of a pharmacist bc the covid test Fucking touched my tear duct I swear to God,2021-11-27 17:11:50+00:00,seokjinntonic,en,0,1,3,0
103,731,731,1464653191035953153,"Waterloo, Ontario, Canada","#BorisJohnson

Anyone arriving in the #UK will be asked to take a PCR test
They would then have to self isolate until they provide a negative test
Wearing face coverings in shops and on public transport will become compulsory
#Omnicron #Covid_19 #Masks",2021-11-27 17:51:47+00:00,hunkara,en,0,0,0,0
104,744,744,1464665273823334407,"Toronto, Canada","Fauci Says #Omicron Is Likely Already Here, NY Issues Emergency Order https://t.co/zYippRS2Y8 via @thedailybeast",2021-11-27 18:39:48+00:00,PaulStewartII,en,0,0,0,0
105,745,745,1464667300477517834,"Kingston, Ontario","Pfizer/BioNTech, Moderna expect data on shot's protection against new COVID-19 variant soon https://t.co/k1H7uEME5w via @cp24",2021-11-27 18:47:51+00:00,timmins316,en,0,0,0,0
106,747,747,1464669247200800770,Canada,"#Kyman doodle becuse I'm gay like that. I bet Eric has zero sense of personal space and just clings to people haha. 

I got some post covid Kyman coming up,,, and even more Jimmy becuse how can I not

#SouthPark #Kymansp #Kylesp #cartman https://t.co/qMR3pocgVU",2021-11-27 18:55:35+00:00,SLesb0,en,3,0,33,0
107,753,753,1464675319428775940,Canada,"It begins in India, where they have been after him for years for the deaths he's caused. Bill Gates officially wanted for murder by vaccine: https://t.co/f9EFQ68j0T",2021-11-27 19:19:43+00:00,AmazonChronicle,en,2,0,0,0
108,759,759,1464685415160446976,"Nova Scotia, Canada","With 85 new cases today, New Brunswick has passed Nova Scotia in total cases of #COVID19 detected since the beginning of the pandemic.

8,172 total cases in New Brunswick versus 8,169 total cases in Nova Scotia.",2021-11-27 19:59:50+00:00,COVIDNS,en,5,5,11,0
109,763,763,1464689447551832065,"New Brunswick, Canada","Dr. Fauci Says Omicron COVID Variant Likely Already in US, NY Declares State of Emergency - Daily Beast https://t.co/69ibUqAXiE",2021-11-27 20:15:51+00:00,FerL67,en,8,0,9,1
110,766,766,1464689377687130113,"Prince Albert, Saskatchewan","Daily COVID-19 numbers show 73 new cases, five deaths https://t.co/DF5wi638Cv https://t.co/e1762FQaSz",2021-11-27 20:15:34+00:00,princealbertnow,en,0,0,1,0
111,771,771,1464691410427330564,"Montreal, Canada","https://t.co/9ute8ud7Px

As New COVID-19 Variant Emerges, Calls For Global Vaccine Equity Continue

#COVID #GLOBALSOUTH",2021-11-27 20:23:39+00:00,taypeinternat,en,0,0,0,0
112,780,780,1464697474170425348,"Sarnia, Ontario",New York awards first round of Covid-19 vaccine scholarships for kids 5 to 11 https://t.co/g1ciBcLYjp,2021-11-27 20:47:45+00:00,sheilab06007273,en,0,0,0,0
113,787,787,1464701498261135364,"Moncton, NB, Canada","We are going to have to close Canada to people who've been to low vaccination rate countries. There are too many variant possibilities. Visit Cuba and Puerto Rico, not Jamaica or the Dominican Republic.",2021-11-27 21:03:44+00:00,Altavistagoogle,en,0,1,0,0
114,790,790,1464701470222262273,"Muskoka, Ontario",failure of covid compliance https://t.co/XEmXPWVXBA,2021-11-27 21:03:37+00:00,Muskoka411,en,4,3,9,2
115,794,794,1464705548692164613,"CB, Newfoundland",There are towns here in Newfoundland and Labrador.  Just getting there first dose of the covid vaccine.  Mainly because they are isolated and no roads to bring things in.  Everything has to come by boat.,2021-11-27 21:19:50+00:00,DJTibbitts,en,0,0,1,0
